datetime,production_mw,GHI,ClearSky_GHI,DHI,DNI,Temperature,Relative_Humidity,Wind_Speed,Pressure,Precipitation,month,hour,year,date
2020-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,6.592813221309195,92.75787923552753,2.392449450650913,100.92907118456296,0.001494783491829,1,0,2020,2020-01-01
2020-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,6.098491367371431,94.5879687932784,2.518892992336814,100.89261933339478,0.0184193518604007,1,1,2020,2020-01-01
2020-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,5.613244391099618,96.01032499307529,2.640216969808882,100.88847567168312,0.021145785246053,1,2,2020,2020-01-01
2020-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,5.283120672144778,96.1523885144491,2.7156042839996286,100.88033053273,0.02213646016065,1,3,2020,2020-01-01
2020-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,5.0174120579817165,96.09133598005704,2.822192779983379,100.86127042747673,0.0119508817283722,1,4,2020,2020-01-01
2020-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,4.782475302372819,96.27677407441584,2.876239497737977,100.86584341242738,0.0137420367463761,1,5,2020,2020-01-01
2020-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,4.618565229434034,96.35731880712748,2.9128953928538466,100.89811097774906,0.0293084664389253,1,6,2020,2020-01-01
2020-01-01 07:00:00,0.55,0.0,0.0,0.0,0.0,4.560788477518236,96.3006370602898,2.9058074046717755,100.9355036469394,0.0553947003970086,1,7,2020,2020-01-01
2020-01-01 08:00:00,61.0,49.63697165543351,55.142988643707874,38.72406702982179,107.1922537161848,5.700254824115964,95.57888468285462,2.876030837411132,100.9772726433385,0.0915012464223062,1,8,2020,2020-01-01
2020-01-01 09:00:00,213.4,183.31871941648976,198.26157787831212,96.37436524789952,368.7473945157423,7.716222878773891,88.45110146800845,2.923646016065001,101.02962330348076,0.0619481119010248,1,9,2020,2020-01-01
2020-01-01 10:00:00,352.075,308.36987720432126,329.7299141353517,134.51592096759296,515.2792604560984,9.569328778506147,81.09903425353163,2.387522851075614,101.0547197858,0.0122177084295079,1,10,2020,2020-01-01
2020-01-01 11:00:00,419.65,395.492292493768,419.04431446773145,143.1144972763367,597.771331363679,11.80691995198966,72.13973686640202,1.9390167112916632,101.02102483611858,0.0018557843227772,1,11,2020,2020-01-01
2020-01-01 12:00:00,453.325,451.6888006647581,478.5072597174777,117.7582790139416,771.4690887268042,13.523852829840283,65.21098236543254,1.5202492844612672,100.93792724586828,0.0,1,12,2020,2020-01-01
2020-01-01 13:00:00,450.15,435.9551601883486,454.5730948204232,99.32351583417972,776.9459468193145,14.420620441325816,62.075591358138674,1.1392549164435402,100.8534142738437,0.0,1,13,2020,2020-01-01
2020-01-01 14:00:00,399.125,356.38248915151,373.62992706121287,96.9926922721818,699.9564564675463,14.6311854861047,61.80959652848309,0.895354999538362,100.80719970455176,0.0,1,14,2020,2020-01-01
2020-01-01 15:00:00,282.95,234.41480011079292,245.90771027605965,81.22965469485733,568.9143504754869,14.335755701227958,64.8635435324532,0.8156698365801869,100.79894377250493,0.0,1,15,2020,2020-01-01
2020-01-01 16:00:00,94.3,89.77683593389354,95.72907210783866,48.018851444926575,280.4263733727269,13.1833348721263,71.0139239220756,0.8062404210137573,100.8028049118272,0.0,1,16,2020,2020-01-01
2020-01-01 17:00:00,2.5,1.1512002585172192,1.2455498107284646,1.5017754593297024,5.293607238482136,11.915475025390084,70.96946265349467,0.9497701043301636,100.8255673529684,0.0,1,17,2020,2020-01-01
2020-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,11.21561720986059,74.14755147262493,1.0376493398578144,100.8650013849137,0.0,1,18,2020,2020-01-01
2020-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,10.492800295448236,77.71704090111702,1.1661416305050334,100.89115778783122,0.0,1,19,2020,2020-01-01
2020-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,9.822510386852564,81.12332748592006,1.344294155664296,100.89300433939616,0.0,1,20,2020,2020-01-01
2020-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,9.081665589511584,84.98236173945158,1.5500230818945615,100.88274951528015,0.0,1,21,2020,2020-01-01
2020-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,8.382934170436707,88.78465700304673,1.7901606499861515,100.86928723109602,0.0,1,22,2020,2020-01-01
2020-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,7.599852275874797,93.23493029267836,1.998863447511772,100.83868340873416,0.0,1,23,2020,2020-01-01
2020-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,6.993542609177363,96.31742129073932,2.1505558120210493,100.79709537438823,0.0,1,0,2020,2020-01-02
2020-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,6.426558027882929,97.6615584895206,2.3160502262025653,100.76756716831314,0.0005872033976548,1,1,2020,2020-01-02
2020-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,5.919109962145687,98.2377564398483,2.455608900378541,100.76754131659123,0.0041362755054934,1,2,2020,2020-01-02
2020-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,5.5798476594958855,98.5418982550086,2.5175616286584788,100.75335980057258,0.0086889483888837,1,3,2020,2020-01-02
2020-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,5.385312528852371,98.70121687748104,2.550743237004895,100.73514172283257,0.0149986150863262,1,4,2020,2020-01-02
2020-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,5.315619979687927,98.86538916074208,2.586305050318527,100.74134059643612,0.0237328039885513,1,5,2020,2020-01-02
2020-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,5.498288246699284,98.65125288523652,2.6004191672052475,100.77862985873875,0.038036192410673,1,6,2020,2020-01-02
2020-01-02 07:00:00,0.35,0.0,0.0,0.0,0.0,5.841053457667807,98.12758932693168,2.639034253531531,100.82697534853668,0.0637678884682854,1,7,2020,2020-01-02
2020-01-02 08:00:00,34.525,41.18831132859384,59.24037761979501,29.435523959006545,124.19944695780627,6.645013387498846,96.5505345766779,2.772167851537255,100.88514726248728,0.1005216508170989,1,8,2020,2020-01-02
2020-01-02 09:00:00,136.925,135.43271443080053,210.53167112916623,69.61226756532183,293.6048204228605,7.771699750715538,92.38334410488405,2.6193694026405727,100.95558304865664,0.0820690610285291,1,9,2020,2020-01-02
2020-01-02 10:00:00,219.425,215.3398107284648,346.0174933062506,99.89495983750348,357.72704090111694,9.079768257778586,88.10097867232938,2.402063521373834,101.00152525159264,0.052584248915151,1,10,2020,2020-01-02
2020-01-02 11:00:00,226.475,275.5389936293969,436.9289317699195,143.49305511956413,368.68436894100273,11.085293140060928,81.23647123995943,2.4398162681192868,100.97809528206083,0.0257104607146154,1,11,2020,2020-01-02
2020-01-02 12:00:00,196.75,286.33799926137925,460.8178496907024,189.9049986150864,271.5599399870742,12.641328593850975,75.12301080232668,2.504313544455728,100.881892715354,0.0196787000276982,1,12,2020,2020-01-02
2020-01-02 13:00:00,149.675,244.1228169144122,435.79530606592186,167.9561841011909,230.29282245406728,13.481853014495435,71.36673160373012,2.4953974702243555,100.79205336534018,0.0166678977010433,1,13,2020,2020-01-02
2020-01-02 14:00:00,104.95,173.2010414550824,353.99744529590976,134.97752839073047,115.82713322869544,13.780962976641126,70.18959929831045,2.412814144584986,100.74873049579908,0.0204108577232019,1,14,2020,2020-01-02
2020-01-02 15:00:00,49.725,111.67717662265711,228.3553947003968,85.80158341796694,125.45980241898263,13.508965931123615,72.02227956790702,2.1541741298125743,100.74169605761249,0.0255599667620718,1,15,2020,2020-01-02
2020-01-02 16:00:00,12.25,46.247831225186985,86.41265995752926,38.565151878866246,64.26997784138119,12.1302372818761,81.52562367279111,1.617445295909889,100.75108761887182,0.0317542239867048,1,16,2020,2020-01-02
2020-01-02 17:00:00,0.15,0.6293601698827437,1.1090120949127504,0.7146514633921154,0.6180620441325826,10.965562736589431,83.27601144861963,1.5590536423229615,100.77687009509744,0.0339386944880435,1,17,2020,2020-01-02
2020-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,10.733996860862334,84.26026313359795,1.3829775643984856,100.82198965931111,0.1045508263318254,1,18,2020,2020-01-02
2020-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,10.356463853753109,86.25050041547395,1.3580703536146257,100.86366263502916,0.1208383344104884,1,19,2020,2020-01-02
2020-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,9.958406425999456,88.54283907303099,1.420330532730126,100.89727541316591,0.1348121133782661,1,20,2020,2020-01-02
2020-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,9.714833348721257,90.13089557750897,1.53332656264426,100.92639460806951,0.1395402086603267,1,21,2020,2020-01-02
2020-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,9.568436894100268,91.03938140522553,1.6318354722555617,100.9526128704644,0.1075330071092234,1,22,2020,2020-01-02
2020-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,9.444058720339772,91.88570584433556,1.680471793924846,100.9599372172467,0.1100166189640844,1,23,2020,2020-01-02
2020-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,9.392054288616013,92.48629674083632,1.6809611300895555,100.948782199243,0.1403129904902592,1,0,2020,2020-01-03
2020-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,9.372899085956965,92.75098975163873,1.6753143754039344,100.95074693010812,0.1707857076908872,1,1,2020,2020-01-03
2020-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,9.318970547502548,93.03906379835652,1.685983750346229,100.96802049672245,0.1825639368479364,1,2,2020,2020-01-03
2020-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,9.2715326377989,93.2539626996582,1.6576474933062486,100.96984211984112,0.2126793463207459,1,3,2020,2020-01-03
2020-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,9.202029360169872,93.6264195365154,1.6361693287785062,100.96512787369588,0.2526811928723111,1,4,2020,2020-01-03
2020-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,9.12404856430616,94.03176714984752,1.6301486474009794,100.978824669929,0.285985596897793,1,5,2020,2020-01-03
2020-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,9.034219370325909,94.57577139691612,1.6332859385098324,101.01459606684514,0.3241076539562363,1,6,2020,2020-01-03
2020-01-03 07:00:00,0.1,0.0,0.0,0.0,0.0,8.91736681746837,95.01599021327672,1.6119739636229355,101.04839350013836,0.3563789123811283,1,7,2020,2020-01-03
2020-01-03 08:00:00,21.6,36.87615178653869,52.946979041639786,33.496311513249,63.11621087618874,9.198537531160564,94.08467269873512,1.6190887268026934,101.097228326101,0.3839497737974334,1,8,2020,2020-01-03
2020-01-03 09:00:00,97.6,138.96678330717398,196.3661139322313,92.174427107377,217.9681275967132,10.170798633551827,89.29829747945715,1.8593361647123976,101.16900101560324,0.3650216969808881,1,9,2020,2020-01-03
2020-01-03 10:00:00,202.175,234.4254916443544,329.0141815160188,130.99068507063055,351.46087249561486,11.414491736681745,82.84341519711946,1.7949025944049477,101.22043855599678,0.3936857169236452,1,10,2020,2020-01-03
2020-01-03 11:00:00,283.75,301.6540651832706,419.6577481303666,150.48762810451504,411.8266208106361,12.824331086695585,76.14455821253807,1.729923368110054,101.2005982827071,0.435552580555812,1,11,2020,2020-01-03
2020-01-03 12:00:00,297.175,325.3292927707507,454.5474277536703,135.5099307543164,462.4329110885419,13.762451297202476,72.71183916535863,1.8004210137568084,101.1276918105438,0.4207764749330623,1,12,2020,2020-01-03
2020-01-03 13:00:00,271.225,308.78004154741006,430.8999455267287,129.17802418982563,420.3682153079123,14.233138214384631,71.32246606961506,1.9531640661065457,101.05790785707688,0.4945886806389069,1,13,2020,2020-01-03
2020-01-03 14:00:00,220.925,259.72186686363216,351.9518733265626,110.75538731419064,414.5187665035542,14.32177822915705,71.43206906102856,2.1030135721540013,101.02138953005256,0.5022038592927706,1,14,2020,2020-01-03
2020-01-03 15:00:00,165.65,176.8628113747575,229.06496260733064,83.94932508540288,345.00065275597854,14.020067399132127,73.58404579447884,2.1192392207552397,101.01654140891893,0.4644344935832332,1,15,2020,2020-01-03
2020-01-03 16:00:00,58.375,73.02019388791439,89.95945988366722,45.90519711937954,183.3156578339953,12.85391376604192,82.21585079863354,1.6413212076447217,101.03712214938604,0.375473178838519,1,16,2020,2020-01-03
2020-01-03 17:00:00,1.875,1.1131243652479,1.299163512141077,1.681238112824301,1.3707764749330624,11.39053273012649,86.19945711383988,1.863339488505216,101.07739359246592,0.3063558304865661,1,17,2020,2020-01-03
2020-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0,10.785166651278733,88.26709445111247,2.027783214846276,101.12929831040532,0.1916508170990672,1,18,2020,2020-01-03
2020-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0,10.183299787646568,90.56963068968706,2.1397220939894703,101.16239959375866,0.1312113378266087,1,19,2020,2020-01-03
2020-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0,9.607284645923745,92.75535130643512,2.1095937586557096,101.17653125288524,0.1267223709722093,1,20,2020,2020-01-03
2020-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0,9.008598467362194,94.81719139506954,2.1192659957529325,101.18797802603642,0.064990305604284,1,21,2020,2020-01-03
2020-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0,8.463936847936482,96.43022066291178,2.214724402178931,101.1902963715262,0.0538583694949681,1,22,2020,2020-01-03
2020-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,7.876150863262853,97.46904440956492,2.385859108115591,101.17932508540304,0.0283104053180685,1,23,2020,2020-01-03
2020-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,7.320906656818384,97.9801384913671,2.610150493952537,101.15771858554152,0.0267279106269042,1,0,2020,2020-01-04
2020-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0,6.962993260086787,98.29589973224977,2.819998153448433,101.15031391376608,0.0285079863355184,1,1,2020,2020-01-04
2020-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0,6.770586280121873,98.44845997599464,3.029326931954574,101.14606592189092,0.0255442710737697,1,2,2020,2020-01-04
2020-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0,6.692904625611675,98.3381691441233,3.0783399501431115,101.12409380481942,0.0273945157418521,1,3,2020,2020-01-04
2020-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0,6.654991228880064,98.2103693103128,3.155019850429319,101.10499769181052,0.0326285661527098,1,4,2020,2020-01-04
2020-01-04 05:00:00,0.0,0.0,0.0,0.0,0.0,6.489087803526909,97.8243200073861,3.198688948388884,101.10542793832516,0.0291681285199889,1,5,2020,2020-01-04
2020-01-04 06:00:00,0.0,0.0,0.0,0.0,0.0,6.326235804634849,97.26689502354348,3.1820552118917917,101.11699935370692,0.0310266826701136,1,6,2020,2020-01-04
2020-01-04 07:00:00,0.325,0.0,0.0,0.0,0.0,6.06698827439755,96.91500507801672,3.186973501985042,101.11980426553404,0.0302539008401809,1,7,2020,2020-01-04
2020-01-04 08:00:00,62.075,53.00539100729388,56.56501338749884,32.74965192503004,187.36235712307263,6.387521927799834,94.37691071923184,3.502830763549069,101.14046348444276,0.0231012833533376,1,8,2020,2020-01-04
2020-01-04 09:00:00,243.65,192.88272274028228,207.86189456190547,69.79090850336999,499.4604791801315,7.758700950974051,87.30084479734094,3.7457510848490414,101.1883399501431,0.0151851167943864,1,9,2020,2020-01-04
2020-01-04 10:00:00,389.8,320.47474471424647,345.9445102021975,92.01863355184202,640.5880537346497,9.58351121780075,78.83933985781546,3.8373825131566814,101.21247437909705,0.0073908226387221,1,10,2020,2020-01-04
2020-01-04 11:00:00,461.9,413.97314375403954,439.8463235158341,110.56272458683414,689.9003360723854,11.422902779060124,71.348875450097,3.902388514449267,101.16985689225385,0.0044760409934447,1,11,2020,2020-01-04
2020-01-04 12:00:00,482.225,448.45397654879474,484.0463706028986,111.08767057520087,722.6146625427015,13.0196371526175,64.53214292309119,4.04421660049857,101.0716914412335,0.0033708798818206,1,12,2020,2020-01-04
